Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
13562,34fa,"EASTCOM","D","Shaker Hts / University Hts / Cleveland Hts Fire Dispatch","Fire Dispatch","Cuyahoga County (18) Fire/EMS/Hospital"
13563,34fb,"FVPKADM","D","Hillcrest Region North Fire Ch.3 (fire prevention use)","Fire-Talk","Cuyahoga County (18) Fire/EMS/Hospital"
13564,34fc,"STAGING","D","Shaker Hts, Eastcom, Hillcrest Region North Fire Staging","Fire-Talk","Cuyahoga County (18) Fire/EMS/Hospital"
13565,34fd,"GCRTA YARD","D","Yard","Transportation","Greater Cleveland Regional Transit Authority"
13569,3501,"GCRTA RMX","D","Rail Maintenance","Transportation","Greater Cleveland Regional Transit Authority"
13570,3502,"Lakewood PD","D","Lakewood Police Dispatch","Law Dispatch","Cuyahoga County (18) Law"
13571,3503,"RckyRvr PD4","D","Rocky River Police Ch. 4","Law Talk","Cuyahoga County (18) Law"
13572,3504,"METROFCO","D","Cleveland Metro LifeFlight Flight Control","EMS Dispatch","Medical Transportation"
13573,3505,"GCRTA HAYDEN","D","Hayden District","Transportation","Greater Cleveland Regional Transit Authority"
13574,3506,"LKWDADMN","D","Lakewood Fire Admin","Fire-Talk","Cuyahoga County (18) Fire/EMS/Hospital"
13578,350a,"GCRTA PARATRAN","D","Paratransit District","Transportation","Greater Cleveland Regional Transit Authority"
13579,350b,"WestlakePD 3","D","Westlake Police Ch. 3","Law Talk","Cuyahoga County (18) Law"
13580,350c,"NASA-GLN","D","NASA Glenn Research Center - Security","Security","Federal Agencies"
13582,350e,"WS Law Tac3","D","Rocky River Police Ch. 3","Law Tac","Cuyahoga County (18) Law"
13583,350f,"WSLKADMN","D","Westlake FD Ch. 6","Fire-Tac","Cuyahoga County (18) Fire/EMS/Hospital"
13585,3511,"GCRTA OPS 1","D","Operations 1","Transportation","Greater Cleveland Regional Transit Authority"
13586,3512,"NOlmsted PD4","D","North Olmsted PD 4","Law Talk","Cuyahoga County (18) Law"
13587,3513,"CLE-LF-AIR","D","Cleveland Metro Life Flight Air Operations","EMS-Tac","Medical Transportation"
13589,3515,"GCRTA OPS 2","D","Operations 2","Transportation","Greater Cleveland Regional Transit Authority"
13591,3517,"NOlm PD 3","D","North Olmsted Police Ch. 3","Law Tac","Cuyahoga County (18) Law"
13592,3518,"CPL SEC DSP","D","Cleveland Public Library, Security Dispatch ","Security","Cuyahoga County (18) Other"
13593,3519,"GCRTA SUPER 1","D","Supervisors 1","Transportation","Greater Cleveland Regional Transit Authority"
13595,351b,"HSOUTH FD PAGE","D","Beachwood/Pepper Pike Fire Paging","Fire Dispatch","Cuyahoga County (18) Fire/EMS/Hospital"
13597,351d,"CLE-LF-DISP","D","Cleveland Metro LifeFlight Dispatch","EMS Dispatch","Medical Transportation"
13598,351e,"FairvwPkPD 3","D","Fairview Park Police Ch. 3","Law Tac","Cuyahoga County (18) Law"
13599,351f,"GCRTA OPS 3","D","Operations 3","Transportation","Greater Cleveland Regional Transit Authority"
13600,3520,"CPL SEC OPS","D","Cleveland Public Library, Security Operations","Security","Cuyahoga County (18) Other"
13606,3526,"GCRTA OPS 4","D","Operations 4","Transportation","Greater Cleveland Regional Transit Authority"
13607,3527,"BayVlg PD 3","D","Bay Village Police Ch. 3","Law Tac","Cuyahoga County (18) Law"
13609,3529,"HighHlsPTac","D","Highland Hills Police Tactical","Law Tac","Cuyahoga County (18) Law"
13610,352a,"18-SPOP1","D","Special Operations 1","Fire-Tac","Cuyahoga County (18) Fire/EMS/Hospital"
13611,352b,"WS Law Disp","D","Westshore Law Dispatch","Law Dispatch","Cuyahoga County (18) Law"
13615,352f,"GCRTA SUPER 2","D","Supervisors 2","Transportation","Greater Cleveland Regional Transit Authority"
13617,3531,"RckyRvrCSD","D","Rocky River Schools","Schools","Cuyahoga County (18) Public Works"
13619,3533,"WS Law Tac2","D","Westshore Law Ch. 2","Law Tac","Cuyahoga County (18) Law"
13621,3535,"18-SPOP2","D","Special Operations 2","Fire-Tac","Cuyahoga County (18) Fire/EMS/Hospital"
13622,3536,"NOlmsSchlEmerg","DE","North Olmsted Schools Emergency","Emergency Ops","Cuyahoga County (18) Law"
13624,3538,"Bchwd PPike PD","D","Beachwood-Pepper Pike PD Dispatch","Law Dispatch","Cuyahoga County (18) Law"
13629,353d,"EUCFD1","D","Euclid Fire Dispatch","Fire Dispatch","Cuyahoga County (18) Fire/EMS/Hospital"
13634,3542,"SPNMAIN","D","SPAN 1 Mayfield Village/Lyndhurst/Highland Heights PD","Law Dispatch","Cuyahoga County (18) Law"
13644,354c,"SPNTRF2","D","SPAN 2 Richmond Heights PD","Law Dispatch","Cuyahoga County (18) Law"
13650,3552,"WEBDISP","D","Westshore Enforcement Bureau Dispatch","Law Dispatch","Cuyahoga County (18) Law"
13651,3553,"SPNTRF3","D","SPAN 3 Mayfield Village PD 3","Law Tac","Cuyahoga County (18) Law"
13652,3554,"EUCFD2","D","Euclid Fire Ch. 2","Fire-Tac","Cuyahoga County (18) Fire/EMS/Hospital"
13654,3556,"WEBOPS","D","Westshore Enforcement Bureau Operations","Law Tac","Cuyahoga County (18) Law"
13658,355a,"WEBTAC1","D","Westshore Enforcement Bureau TAC-1","Law Tac","Cuyahoga County (18) Law"
13660,355c,"SPAN Tac 1","D","SPAN Tactical 1 Highland Hts PD 4","Law Tac","Cuyahoga County (18) Law"
13664,3560,"EUCFD3","D","Euclid Fire Ch. 3","Fire-Tac","Cuyahoga County (18) Fire/EMS/Hospital"
13665,3561,"RHPD 1","D","Richmond Heights Police Tactical 1","Law Tac","Cuyahoga County (18) Law"
13666,3562,"BchwdSchEmerg","D","Beachwood Schools Emergency","Emergency Ops","Cuyahoga County (18) Law"
13668,3564,"MayfldHts PD","D","Mayfield Hts Police Dispatch","Law Dispatch","Cuyahoga County (18) Law"
13670,3566,"RHPD 2","D","Richmond Heights Police Tactical 2","Law Tac","Cuyahoga County (18) Law"
13672,3568,"WL Schl Emerg","D","Westlake School Emergency","Emergency Ops","Cuyahoga County (18) Law"
13673,3569,"WHSD Sch Emerg","D","Warrensville Hts School Emergency","Emergency Ops","Cuyahoga County (18) Law"
13696,3580,"WarrHgts PD1","D","Warrensville Heights Police Ch. 1","Law Dispatch","Cuyahoga County (18) Law"
13700,3584,"WarrHgts PD2","D","Warrensville Heights Police Ch. 2","Law Talk","Cuyahoga County (18) Law"
13704,3588,"WHFD1","D","Warrensville Heights Fire Dispatch","Fire Dispatch","Cuyahoga County (18) Fire/EMS/Hospital"
13709,358d,"EASTCOM FD PAGE","D","Eastcom Fire Paging","Fire Dispatch","Cuyahoga County (18) Fire/EMS/Hospital"
13711,358f,"OrangeFDPage","D","Orange Fire Paging","Fire Dispatch","Cuyahoga County (18) Fire/EMS/Hospital"
13712,3590,"ChagrinFDPage","D","Chagrin Fire Paging","Fire Dispatch","Cuyahoga County (18) Fire/EMS/Hospital"
13713,3591,"GatesMillsFDPage","D","Gates Mills Fire Paging","Fire Dispatch","Cuyahoga County (18) Fire/EMS/Hospital"
13714,3592,"EuclidFDPage","D","Euclid Fire Paging","Fire Dispatch","Cuyahoga County (18) Fire/EMS/Hospital"
13716,3594,"SolonFDPage","D","Solon Fire Paging","Fire Dispatch","Cuyahoga County (18) Fire/EMS/Hospital"
13717,3595,"HHillsFDPage","D","Highland Hills Fire Paging","Fire Dispatch","Cuyahoga County (18) Fire/EMS/Hospital"
13718,3596,"WoodmereFDPage","D","Woodmere Fire Paging","Fire Dispatch","Cuyahoga County (18) Fire/EMS/Hospital"
13719,3597,"NRandallFDPage","D","North Randall Fire Paging","Fire Dispatch","Cuyahoga County (18) Fire/EMS/Hospital"
13721,3599,"BedfordFDPage","D","Bedford Fire Paging","Fire Dispatch","Cuyahoga County (18) Fire/EMS/Hospital"
13722,359a,"MapleHgtsFDPage","D","Maple Heights Fire Paging","Fire Dispatch","Cuyahoga County (18) Fire/EMS/Hospital"
13724,359c,"LyndhurstFDPAge","D","Lyndhurst Fire Paging","Fire Dispatch","Cuyahoga County (18) Fire/EMS/Hospital"
13729,35a1,"OlmstedFDDisp","D","Berea/N Olmsted/Olmsted Twp/Olmsted Falls Fire Dispatch","Fire Dispatch","Cuyahoga County (18) Fire/EMS/Hospital"
13732,35a4,"N Olmsted FGND 1","D","North Olmsted Fireground 1","Fire-Tac","Cuyahoga County (18) Fire/EMS/Hospital"
14044,36dc,"SolonPD Tac1","D","Solon Police Tac 1","Law Talk","Cuyahoga County (18) Law"
14096,3710,"CC-AIR","D","Cleveland Clinic Helo","EMS Dispatch","Medical Transportation"
14102,3716,"MayfldHts PD2","D","Mayfield Hts Police 2","Law Tac","Cuyahoga County (18) Law"
14208,3780,"WSTHAZ","D","Westcom HAZ-MAT","Fire-Tac","Cuyahoga County (18) Fire/EMS/Hospital"
14211,3783,"WSTRIT","D","Westcom RIT","Fire-Tac","Cuyahoga County (18) Fire/EMS/Hospital"
14212,3784,"BereaOlmFOlmT PD","D","Berea/Olmsted Falls/Olmsted Twp Police Dispatch","Law Dispatch","Cuyahoga County (18) Law"
14213,3785,"BereaOlmFOlmTPD2","D","Berea/Olmsted Falls/Olmsted Twp Police 2","Law Tac","Cuyahoga County (18) Law"
14214,3786,"BereaOlmFOlmTPD3","D","Berea/Olmsted Falls/Olmsted Twp Police 3","Law Tac","Cuyahoga County (18) Law"
14466,3882,"18-CCAN","D","Community Care Ambulance - Cuyahoga","EMS Dispatch","Medical Transportation"
14470,3886,"CVD W PD 1","D","Chagrin Valley Police Dispatch West Ch. 1","Law Dispatch","Cuyahoga County (18) Law"
14471,3887,"CVD FTAC 1","D","Chagrin Valley Dispatch - Fire Tac 1","Fire-Tac","Cuyahoga County (18) Fire/EMS/Hospital"
14472,3888,"CVD FTAC 2","D","Chagrin Valley Dispatch - Fire Tac 2","Fire-Tac","Cuyahoga County (18) Fire/EMS/Hospital"
14473,3889,"CVD W PD 2","D","Chagrin Valley Police Dispatch West Ch. 2","Law Tac","Cuyahoga County (18) Law"
14474,388a,"CVD FTAC 3","D","Chagrin Valley Dispatch - Fire Tac 3","Fire-Tac","Cuyahoga County (18) Fire/EMS/Hospital"
14476,388c,"CVD FTAC 4","D","Chagrin Valley Dispatch - Fire Tac 4","Fire-Tac","Cuyahoga County (18) Fire/EMS/Hospital"
14477,388d,"Lkwd PD Ops","D","Lakewood Police Special Ops","Law Tac","Cuyahoga County (18) Law"
14478,388e,"CVD FTAC 5","D","Chagrin Valley Dispatch - Fire Tac 5","Fire-Tac","Cuyahoga County (18) Fire/EMS/Hospital"
14481,3891,"Lkwd PD Tac","D","Lakewood Police Ch. 4 Tactical/Car-to-Car","Law Tac","Cuyahoga County (18) Law"
14483,3893,"SLN-DISP","D","Maple Hts/Highland Hills/Bedford/North Randall/Woodmere Fire","Fire Dispatch","Cuyahoga County (18) Fire/EMS/Hospital"
14484,3894,"Lkwd PD Tac3","D","Lakewood Police Ch. 3","Law Tac","Cuyahoga County (18) Law"
14488,3898,"Lkwd PD Event","D","Lakewood Police Events","Law Talk","Cuyahoga County (18) Law"
14489,3899,"CVPDTAC1 ","D","Chagrin Valley Police Tac 1","Law Tac","Cuyahoga County (18) Law"
14490,389a,"Solon-GW PD","D","Solon / Glenwillow Police Dispatch","Law Dispatch","Cuyahoga County (18) Law"
14492,389c,"CHAGPD1","D","Chagrin Valley Police Dispatch East Ch. 1","Law Dispatch","Cuyahoga County (18) Law"
14493,389d,"CVPDTAC2 ","D","Chagrin Valley Police Tac 2","Law Tac","Cuyahoga County (18) Law"
14494,389e,"CHAGFD1","D","Chagrin Falls / Orange Village / Solon Fire","Fire Dispatch","Cuyahoga County (18) Fire/EMS/Hospital"
14495,389f,"Solon PD 2","D","Solon / Glenwillow Police Ch. 2","Law Talk","Cuyahoga County (18) Law"
14497,38a1,"CVPDTAC3","D","Chagrin Valley Police Tac-3","Law Tac","Cuyahoga County (18) Law"
14498,38a2,"CHAGPD2","D","Chagrin Valley Police Dispatch East Ch. 2","Law Talk","Cuyahoga County (18) Law"
14501,38a5,"19COFDIS","D","Darke County Fire/EMS Dispatch","Fire Dispatch","Darke County (19)"
14502,38a6,"19SODISP","D","Darke County Law Enforcement (Except Greenville PD)","Law Dispatch","Darke County (19)"
14504,38a8,"19GRNVFD","D","Greenville Fire Dispatch","Fire Dispatch","Darke County (19)"
14506,38aa,"19GPD","D","Greenville Police Dispatch","Law Dispatch","Darke County (19)"
14508,38ac,"19TAC4","De","All LE Only","Law Tac","Darke County (19)"
14510,38ae,"19TAC12","D","County Wide Tactical","Interop","Darke County (19)"
14512,38b0,"19TAC13","D","County Wide Tactical","Interop","Darke County (19)"
14513,38b1,"DARKEPG1","D","County Fire/EMS Paging","Fire Dispatch","Darke County (19)"
14514,38b2,"19TAC14","D","County Wide Tactical","Interop","Darke County (19)"
14516,38b4,"19IPSAP","D","Darke County PSAP","Interop","Darke County (19)"
14517,38b5,"19 WAYNE","D","Wayne Hospital","Hospital","Darke County (19)"
14518,38b6,"SC19EMER","D","Countywide School Emergency","Emergency Ops","Darke County (19)"
14520,38b8,"19TRVRPG","D","Tri-Village Rescue Paging","EMS Dispatch","Darke County (19)"
14521,38b9,"19ARCRPG","D","Arcanum Rescue Paging","EMS Dispatch","Darke County (19)"
14525,38bd,"19 SPIRIT EMS","D","Spirit EMS ","EMS Dispatch","Darke County (19)"
15003,3a9b,"DEF CITY FDISP","D","Defiance City Fire/EMS Dispatch","Fire Dispatch","Defiance County (20)"
15004,3a9c,"20DPD-DISP","D","Defiance Police Dispatch","Law Dispatch","Defiance County (20)"
15006,3a9e,"SO20TAC","D","Sheriff Tactical","Law Tac","Defiance County (20)"
15008,3aa0,"FD20DISP","D","Fire/EMS Dispatch","Fire Dispatch","Defiance County (20)"
15009,3aa1,"FD20TAC1","D","Fire/EMS Tactical 1","Fire-Tac","Defiance County (20)"
15010,3aa2,"FD20TAC2","D","Fire/EMS Tactical 2","Fire-Tac","Defiance County (20)"
15011,3aa3,"FD20TAC3","D","Fire/EMS Tactical 3","Fire-Tac","Defiance County (20)"
15012,3aa4,"20HPD-DISP","D","Hicksville Police Dispatch","Law Dispatch","Defiance County (20)"
15014,3aa6,"SO20DISP","D","Sheriff Dispatch","Law Dispatch","Defiance County (20)"
16500,4074,"SO23MCU-1","DE","Sheriff - Major Crimes Unit Ch. 1","Law Tac","Fairfield County (23)"
16501,4075,"SO23DISP","D","Sheriff Dispatch","Law Dispatch","Fairfield County (23)"
16502,4076,"23FIRE1","D","Fire Operations 1","Fire-Tac","Fairfield County (23)"
16503,4077,"SO23TAC1","D","Sheriff Tac 1","Law Tac","Fairfield County (23)"
16504,4078,"SO23MCU-2","DE","Sheriff - Major Crimes Unit Ch. 2","Law Tac","Fairfield County (23)"
16505,4079,"SO23TAC2","D","Sheriff Tac 2 (Also used by Dog Warden)","Law Tac","Fairfield County (23)"
16506,407a,"23FIRE2","D","Fire Operations 2","Fire-Tac","Fairfield County (23)"
16507,407b,"FD23DISP","D","Fire Dispatch","Fire Dispatch","Fairfield County (23)"
16509,407d,"23-PPD 1","D","PIckerington Police Dispatch","Law Dispatch","Fairfield County (23)"
16510,407e,"23FIRE3","D","Fire Operations 3","Fire-Tac","Fairfield County (23)"
16511,407f,"23EMS 1","D","EMS Operations 1","EMS-Tac","Fairfield County (23)"
16514,4082,"23-PPD 2","D","Pickerington Police Tac 2","Law Tac","Fairfield County (23)"
16516,4084,"HOS-2304","D","Fairfield Medical Center (River Valley Campus)","Hospital","Fairfield County (23)"
16517,4085,"PEASI-LANC","D","Portsmouth Emergency Ambulance Service (Lancaster)","EMS Dispatch","Fairfield County (23)"
16518,4086,"23 ENG 1","D","Engineer 1","Public Works","Fairfield County (23)"
16519,4087,"23 ENG 2","D","Engineer 2","Public Works","Fairfield County (23)"
16524,408c,"23 LFD OPS","D","Lancaster FD Operations","Fire-Tac","Fairfield County (23)"
16736,4160,"23 LPDDSP","D","Lancaster Police Dispatch","Law Dispatch","Fairfield County (23)"
16759,4177,"23 LFD EMS","D","Lancaster FD EMS","EMS-Tac","Fairfield County (23)"
16796,419c,"23 LPD TAC","D","Lancaster PD Tactical","Law Tac","Fairfield County (23)"
16857,41d9,"23 LFD DISP","D","Lancaster FD Dispatch","Fire Dispatch","Fairfield County (23)"
16920,4218,"23 LPD SRT","D","Lancaster PD Special Response Team","Law Tac","Fairfield County (23)"
16921,4219,"FD23PAGE","D","Fire Alert","Fire Dispatch","Fairfield County (23)"
16923,421b,"23 LINK","D","County Transit (LINK)","Transportation","Fairfield County (23)"
17000,4268,"SO24DISP","DE","County Sheriff Dispatch","Law Dispatch","Fayette County (24)"
17001,4269,"WCHPEVT","DE","Washington Court House PD Event","Law Talk","Fayette County (24)"
17002,426a,"WCHPDSP","DE","Washington Court House PD Dispatch","Law Dispatch","Fayette County (24)"
17004,426c,"24FG01","D","County Fireground","Fire-Tac","Fayette County (24)"
17005,426d,"24FD ALERT","D","Fire Alert Paging (Simulcast on 154.695)","Fire Dispatch","Fayette County (24)"
17006,426e,"WCHPTAC1","DE","Washington Court House PD Tac 1","Law Tac","Fayette County (24)"
17007,426f,"SO24EVT","DE","County Sheriff Event","Law Talk","Fayette County (24)"
17008,4270,"24FG500","D","Jeffersonville Fireground","Fire-Tac","Fayette County (24)"
17009,4271,"24LAWTAC","DE","County Law Tac","Law Tac","Fayette County (24)"
17010,4272,"SC24EMG","D","Countywide School Emergency","Emergency Ops","Fayette County (24)"
17011,4273,"WCHPTAC2","DE","Washington Court House PD Tac 2","Law Tac","Fayette County (24)"
17012,4274,"24FIRE","D","County Fire Dispatch","Fire Dispatch","Fayette County (24)"
17014,4276,"24EMS","D","County EMS Dispatch","EMS Dispatch","Fayette County (24)"
17015,4277,"24TRANSIT","D","Fayette County Transportation Buses & Vans","Transportation","Fayette County (24)"
17018,427a,"SO24JAIL","DE","County Jail Operations","Law Talk","Fayette County (24)"
17019,427b,"24CHSCOM","D","Head Start - Common","Public Works","Fayette County (24)"
17020,427c,"24ENG1","D","County Engineer Main","Public Works","Fayette County (24)"
17023,427f,"SO24TAC3","DE","County Sheriff Tactical","Law Tac","Fayette County (24)"
17026,4282,"24FG100","D","Washington Court House Fireground","Fire-Tac","Fayette County (24)"
17027,4283,"24FG200","D","Wayne Twp Fireground","Fire-Tac","Fayette County (24)"
17032,4288,"24FG300","D","Concord-Greene Fireground","Fire-Tac","Fayette County (24)"
17034,428a,"24FG400","D","Bloomingburg Fireground","Fire-Tac","Fayette County (24)"
17261,436d,"24HDSTRT","D","Head Start - Dispatch","Public Works","Fayette County (24)"
17500,445c,"25COMSVC","D","County communications service","Public Works","Franklin County (25) Public Works"
17501,445d,"MEDFLT","D","MedFlight Statewide Hailing","EMS-Tac","Medical Transportation"
17508,4464,"MFHELI1","D","MedFlight Helicopter Operations","EMS Dispatch","Medical Transportation"
17510,4466,"MEDCARE1","D","MedCare Central","EMS Dispatch","Medical Transportation"
17512,4468,"MFHELI2","D","MedFlight Helicopter Alternate","EMS-Tac","Medical Transportation"
17514,446a,"MEDCARE2","D","MedCare North","EMS Dispatch","Medical Transportation"
17515,446b,"GAH DISP","D","Gahanna Police Dispatch","Law Dispatch","Franklin County (25) Law Enforcement"
17517,446d,"MFHELI3","D","MedFlight 7 / HealthNet 3 (Huntington) Operations","EMS Dispatch","Medical Transportation"
17518,446e,"MHMT DISP","D","Mercy Health Medical Transportation - Dispatch","EMS Dispatch","Medical Transportation"
17520,4470,"MFMICU","D","Medflight MICU Operations","EMS Dispatch","Medical Transportation"
17522,4472,"MF TAC1","D","MedFlight Tactical 1","EMS-Tac","Medical Transportation"
17523,4473,"GAH EVT","D","Gahanna Police - Events","Law Talk","Franklin County (25) Law Enforcement"
17525,4475,"MF GND2","D","MedFlight Tactical 2","EMS-Tac","Medical Transportation"
17532,447c,"GAH PARKS","D","Gahanna Parks & Recreation","Public Works","Franklin County (25) Public Works"
17535,447f,"GAH PTL","D","Gahanna Police - Car-to-car","Law Tac","Franklin County (25) Law Enforcement"
17536,4480,"CS-PD","D","Columbus State Community College Police Dispatch","Law Dispatch","Franklin County (25) Law Enforcement"
17540,4484,"CS-TAC1","D","Columbus State Community College Police Tac","Law Tac","Franklin County (25) Law Enforcement"
17542,4486,"REDCRS02","D","Red Cross 2","Emergency Ops","Statewide Emergency Response"
17544,4488,"GAH TAC","DE","Gahanna Police - Tac","Law Tac","Franklin County (25) Law Enforcement"
17545,4489,"CS-TAC2","D","Columbus State Community College Police Tac 2","Law Tac","Franklin County (25) Law Enforcement"
17546,448a,"MEDCARE3","D","MedCare South","EMS Dispatch","Medical Transportation"
17547,448b,"REDCRS03","D","Red Cross 3","Emergency Ops","Statewide Emergency Response"
17548,448c,"BXPDDISP","D","Bexley Police Dispatch","Law Dispatch","Franklin County (25) Law Enforcement"
17551,448f,"MEDCARE4","D","MedCare Alternate","EMS-Talk","Medical Transportation"
17552,4490,"BXPDTAC1","D","Bexley Police Tac 1","Law Tac","Franklin County (25) Law Enforcement"
17555,4493,"REDCRS04","D","Red Cross 4","Emergency Ops","Statewide Emergency Response"
17556,4494,"BXPDTAC2","D","Bexley Police Tac 2","Law Tac","Franklin County (25) Law Enforcement"
17560,4498,"AlbSchEmerg","D","New Albany School Emergency","Emergency Ops","Franklin County (25) Emergency Response"
17561,4499,"REDCRS05","D","Red Cross 5","Emergency Ops","Statewide Emergency Response"
17562,449a,"WHPDDSP","D","Whitehall Police Dispatch","Law Dispatch","Franklin County (25) Law Enforcement"
17563,449b,"NAPD-DSP","D","New Albany Police Dispatch","Law Dispatch","Franklin County (25) Law Enforcement"
17568,44a0,"WHPDTC1","D","Whitehall Police Tac 1","Law Tac","Franklin County (25) Law Enforcement"
17569,44a1,"RED X SEC","D","Red Cross Facility - Columbus (Security)","Security","Franklin County (25) Public Works"
17570,44a2,"NAPD-EVT","D","New Albany Police - Event","Law Talk","Franklin County (25) Law Enforcement"
17571,44a3,"GHPD-DSP","D","Grandview Heights Police Dispatch","Law Dispatch","Franklin County (25) Law Enforcement"
17572,44a4,"WHPDEVT","D","Whitehall Police - Events","Law Talk","Franklin County (25) Law Enforcement"
17576,44a8,"WHPDTC2","D","Whitehall Police Tac 2","Law Tac","Franklin County (25) Law Enforcement"
17578,44aa,"GHP-TAC1","D","Grandview Heights Police Tac 1","Law Tac","Franklin County (25) Law Enforcement"
17580,44ac,"NAPD-TAC","D","New Albany Police Tac","Law Tac","Franklin County (25) Law Enforcement"
17584,44b0,"GHP-TAC2","D","Grandview Heights Police Tac 2","Law Tac","Franklin County (25) Law Enforcement"
17587,44b3,"COIRS DET","D","COIRS Detectives Interop","Interop","Franklin County (25) Law Enforcement"
17588,44b4,"BRICE","D","Brice Operations/Police Car-to-Car","Law Tac","Franklin County (25) Law Enforcement"
17592,44b8,"BRICE 2","DE","Brice Operations 2","Law Tac","Franklin County (25) Law Enforcement"
17607,44c7,"SC25EM2","D","Ohio State School for the Blind/Ohio State School for the Deaf - Common Channel","Schools","Franklin County (25) Public Works"
17611,44cb,"GH POL-FIRE","D","Grandview Heights Police-Fire Interop","Interop","Franklin County (25) Law Enforcement"
19000,4a38,"SC27EMG","D","Countywide School Emergency","Emergency Ops","Gallia County (27)"
19002,4a3a,"27 911 OPS","D","911 Operations","Interop","Gallia County (27)"
19004,4a3c,"GALLIA COMM 2","D","Common 2","Interop","Gallia County (27)"
19005,4a3d,"27 GCSD","D","Gallia County Local School District","Schools","Gallia County (27)"
19007,4a3f,"RIO GRANDE PD","D","Rio Grande Police Dispatch","Law Dispatch","Gallia County (27)"
19009,4a41,"SO27EMS OPS","D","Sheriff - EMS Operations","Multi-Tac","Gallia County (27)"
19011,4a43,"PD27TAC","D","Gallipolis Police Tactical","Law Tac","Gallia County (27)"
19012,4a44,"SO27TAC1","D","Sheriff Tactical 1","Law Tac","Gallia County (27)"
19014,4a46,"FD27DISP","D","Fire Dispatch","Fire Dispatch","Gallia County (27)"
19016,4a48,"EMS27DISP","D","Fire/EMS Dispatch","Fire Dispatch","Gallia County (27)"
19018,4a4a,"FD27TAC","D","Fire Tactical","Fire-Tac","Gallia County (27)"
19020,4a4c,"PD27DISP","D","Gallipolis Police Dispatch","Law Dispatch","Gallia County (27)"
19023,4a4f,"SO27JAIL","D","Jail Operations","Law Tac","Gallia County (27)"
19026,4a52,"FD27PG1","D","Fire Paging 1","Fire Dispatch","Gallia County (27)"
19500,4c2c,"28PD C2C","D","Police Car-to-Car","Interop","Geauga County (28) Law"
19504,4c30,"28GCSO","D","County Sheriff / Chardon Police Dispatch","Law Dispatch","Geauga County (28) Law"
19505,4c31,"28PD","D","Local Police Dispatch","Law Dispatch","Geauga County (28) Law"
19507,4c33,"28CNTY","D","County Law Common 1","Law Tac","Geauga County (28) Law"
19508,4c34,"28-JAIL","D","County Jail","Law Talk","Geauga County (28) Law"
19509,4c35,"28CNTY2","D","County Law Common 2","Law Tac","Geauga County (28) Law"
19510,4c36,"28TAC-1","D","Countywide Tactical 1","Interop","Geauga County (28) Common"
19511,4c37,"28TAC-2","D","Countywide Tactical 2","Interop","Geauga County (28) Common"
19512,4c38,"28TAC-3","D","Countywide Tactical 3","Interop","Geauga County (28) Common"
19513,4c39,"28TAC-4","D","Countywide Tactical 4","Interop","Geauga County (28) Common"
19514,4c3a,"28TAC-5","D","Countywide Tactical 5","Interop","Geauga County (28) Common"
19515,4c3b,"28TAC-6","D","Countywide Tactical 6","Interop","Geauga County (28) Common"
19516,4c3c,"28TAC-7","D","Countywide Tactical 7","Interop","Geauga County (28) Common"
19517,4c3d,"28TAC-8","D","Countywide Tactical 8","Interop","Geauga County (28) Common"
19520,4c40,"CHRDNFD","D","Chardon Fire Dispatch","Fire Dispatch","Geauga County (28) Fire/EMS/Hospital"
19521,4c41,"H/M/TFD","D","Hambden / Montville / Thompson Fire Dispatch","Fire Dispatch","Geauga County (28) Fire/EMS/Hospital"
19522,4c42,"BU/NEFD","D","Burton / Newbury Fire Dispatch","Fire Dispatch","Geauga County (28) Fire/EMS/Hospital"
19523,4c43,"MIDILFFD","D","Middlefield Fire Dispatch","Fire Dispatch","Geauga County (28) Fire/EMS/Hospital"
19524,4c44,"BNBRGFD","D","Bainbridge Fire Dispatch","Fire Dispatch","Geauga County (28) Fire/EMS/Hospital"
19525,4c45,"A/P/TFD","D","Auburn / Parkman / Troy Fire Dispatch","Fire Dispatch","Geauga County (28) Fire/EMS/Hospital"
19526,4c46,"CHESTFD","D","Chester Fire Dispatch","Fire Dispatch","Geauga County (28) Fire/EMS/Hospital"
19527,4c47,"MU/RUFD","D","Munson / Russell Fire Dispatch","Fire Dispatch","Geauga County (28) Fire/EMS/Hospital"
19530,4c4a,"GeaugaMC ER","D","Geauga Medical Center ER","Hospital","Geauga County (28) Fire/EMS/Hospital"
19533,4c4d,"28EMA-1","D","EMA 1","Emergency Ops","Geauga County (28) Common"
19534,4c4e,"28EMA-2","D","EMA 2","Emergency Ops","Geauga County (28) Common"
19535,4c4f,"28 ALL TALK","D","County Wide ALL TALK","Interop","Geauga County (28) Common"
19536,4c50,"MetznbaumCtr","D","The Bessie Benner Metzenbaum Center","Schools","Geauga County (28) Public Works"
19537,4c51,"WGeaugaSch","D","West Geauga Schools","Schools","Geauga County (28) Public Works"
19538,4c52,"BerkshireSch","D","Berkshire Schools","Schools","Geauga County (28) Public Works"
19539,4c53,"CardinalSch","D","Cardinal Schools","Schools","Geauga County (28) Public Works"
19540,4c54,"ChardonSch","D","Chardon Schools","Schools","Geauga County (28) Public Works"
19541,4c55,"LedgemontSch","D","Ledgemont Schools","Schools","Geauga County (28) Public Works"
19542,4c56,"Kenston LSD","D","Kenston Local Schools","Schools","Geauga County (28) Public Works"
